1f645-1f3fe-200d-2640-fe0f,woman-gesturing-no-medium-dark-skin-tone
1f645-1f3ff-200d-2640-fe0f,woman-gesturing-no-dark-skin-tone
1f646-1f3fb,person-gesturing-ok-light-skin-tone
1f646-1f3fc,person-gesturing-ok-medium-light-skin-tone
1f646-1f3fd,person-gesturing-ok-medium-skin-tone
1f646-1f3fe,person-gesturing-ok-medium-dark-skin-tone
1f646-1f3ff,person-gesturing-ok-dark-skin-tone
1f646-1f3fb-200d-2642-fe0f,man-gesturing-ok-light-skin-tone
1f646-1f3fc-200d-2642-fe0f,man-gesturing-ok-medium-light-skin-tone
1f646-1f3fd-200d-2642-fe0f,man-gesturing-ok-medium-skin-tone
1f646-1f3fe-200d-2642-fe0f,man-gesturing-ok-medium-dark-skin-tone
1f646-1f3ff-200d-2642-fe0f,man-gesturing-ok-dark-skin-tone
1f646-1f3fb-200d-2640-fe0f,woman-gesturing-ok-light-skin-tone
1f646-1f3fc-200d-2640-fe0f,woman-gesturing-ok-medium-light-skin-tone
1f646-1f3fd-200d-2640-fe0f,woman-gesturing-ok-medium-skin-tone
1f646-1f3fe-200d-2640-fe0f,woman-gesturing-ok-medium-dark-skin-tone
1f646-1f3ff-200d-2640-fe0f,woman-gesturing-ok-dark-skin-tone
1f481-1f3fb,person-tipping-hand-light-skin-tone
1f481-1f3fc,person-tipping-hand-medium-light-skin-tone
1f481-1f3fd,person-tipping-hand-medium-skin-tone
1f481-1f3fe,person-tipping-hand-medium-dark-skin-tone
1f481-1f3ff,person-tipping-hand-dark-skin-tone
1f481-1f3fb-200d-2642-fe0f,man-tipping-hand-light-skin-tone
1f481-1f3fc-200d-2642-fe0f,man-tipping-hand-medium-light-skin-tone
1f481-1f3fd-200d-2642-fe0f,man-tipping-hand-medium-skin-tone
1f481-1f3fe-200d-2642-fe0f,man-tipping-hand-medium-dark-skin-tone
1f481-1f3ff-200d-2642-fe0f,man-tipping-hand-dark-skin-tone
1f481-1f3fb-200d-2640-fe0f,woman-tipping-hand-light-skin-tone
1f481-1f3fc-200d-2640-fe0f,woman-tipping-hand-medium-light-skin-tone
1f481-1f3fd-200d-2640-fe0f,woman-tipping-hand-medium-skin-tone
1f481-1f3fe-200d-2640-fe0f,woman-tipping-hand-medium-dark-skin-tone
1f481-1f3ff-200d-2640-fe0f,woman-tipping-hand-dark-skin-tone
1f64b-1f3fb,person-raising-hand-light-skin-tone
1f64b-1f3fc,person-raising-hand-medium-light-skin-tone
1f64b-1f3fd,person-raising-hand-medium-skin-tone
1f64b-1f3fe,person-raising-hand-medium-dark-skin-tone
1f64b-1f3ff,person-raising-hand-dark-skin-tone
1f64b-1f3fb-200d-2642-fe0f,man-raising-hand-light-skin-tone
1f64b-1f3fc-200d-2642-fe0f,man-raising-hand-medium-light-skin-tone
1f64b-1f3fd-200d-2642-fe0f,man-raising-hand-medium-skin-tone
1f64b-1f3fe-200d-2642-fe0f,man-raising-hand-medium-dark-skin-tone
1f64b-1f3ff-200d-2642-fe0f,man-raising-hand-dark-skin-tone
1f64b-1f3fb-200d-2640-fe0f,woman-raising-hand-light-skin-tone
1f64b-1f3fc-200d-2640-fe0f,woman-raising-hand-medium-light-skin-tone
1f64b-1f3fd-200d-2640-fe0f,woman-raising-hand-medium-skin-tone
1f64b-1f3fe-200d-2640-fe0f,woman-raising-hand-medium-dark-skin-tone
1f64b-1f3ff-200d-2640-fe0f,woman-raising-hand-dark-skin-tone
1f9cf-1f3fb,deaf-person-light-skin-tone
1f9cf-1f3fc,deaf-person-medium-light-skin-tone
1f9cf-1f3fd,deaf-person-medium-skin-tone
1f9cf-1f3fe,deaf-person-medium-dark-skin-tone
1f9cf-1f3ff,deaf-person-dark-skin-tone
1f9cf-1f3fb-200d-2642-fe0f,deaf-man-light-skin-tone
1f9cf-1f3fc-200d-2642-fe0f,deaf-man-medium-light-skin-tone
1f9cf-1f3fd-200d-2642-fe0f,deaf-man-medium-skin-tone
1f9cf-1f3fe-200d-2642-fe0f,deaf-man-medium-dark-skin-tone
1f9cf-1f3ff-200d-2642-fe0f,deaf-man-dark-skin-tone
1f9cf-1f3fb-200d-2640-fe0f,deaf-woman-light-skin-tone
1f9cf-1f3fc-200d-2640-fe0f,deaf-woman-medium-light-skin-tone
1f9cf-1f3fd-200d-2640-fe0f,deaf-woman-medium-skin-tone
1f9cf-1f3fe-200d-2640-fe0f,deaf-woman-medium-dark-skin-tone
1f9cf-1f3ff-200d-2640-fe0f,deaf-woman-dark-skin-tone
1f647-1f3fb,person-bowing-light-skin-tone
1f647-1f3fc,person-bowing-medium-light-skin-tone
1f647-1f3fd,person-bowing-medium-skin-tone
1f647-1f3fe,person-bowing-medium-dark-skin-tone
1f647-1f3ff,person-bowing-dark-skin-tone
1f647-1f3fb-200d-2642-fe0f,man-bowing-light-skin-tone
1f647-1f3fc-200d-2642-fe0f,man-bowing-medium-light-skin-tone
1f647-1f3fd-200d-2642-fe0f,man-bowing-medium-skin-tone
1f647-1f3fe-200d-2642-fe0f,man-bowing-medium-dark-skin-tone
1f647-1f3ff-200d-2642-fe0f,man-bowing-dark-skin-tone
1f647-1f3fb-200d-2640-fe0f,woman-bowing-light-skin-tone
1f647-1f3fc-200d-2640-fe0f,woman-bowing-medium-light-skin-tone
1f647-1f3fd-200d-2640-fe0f,woman-bowing-medium-skin-tone
1f647-1f3fe-200d-2640-fe0f,woman-bowing-medium-dark-skin-tone
1f647-1f3ff-200d-2640-fe0f,woman-bowing-dark-skin-tone
1f926-1f3fb,person-facepalming-light-skin-tone
1f926-1f3fc,person-facepalming-medium-light-skin-tone
1f926-1f3fd,person-facepalming-medium-skin-tone
1f926-1f3fe,person-facepalming-medium-dark-skin-tone
1f926-1f3ff,person-facepalming-dark-skin-tone
1f926-1f3fb-200d-2642-fe0f,man-facepalming-light-skin-tone
1f926-1f3fc-200d-2642-fe0f,man-facepalming-medium-light-skin-tone
1f926-1f3fd-200d-2642-fe0f,man-facepalming-medium-skin-tone
1f926-1f3fe-200d-2642-fe0f,man-facepalming-medium-dark-skin-tone
